                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.94557,                 1.6514,                 1.2577,                0.48274,                0.45892,                0.44398,                0.32456,                 1.0137,                   1.75,                 1.3505,               0.003268,               0.003268,               0.003268
                     36,                0.93561,                 1.6095,                 1.2517,                0.48036,                0.45931,                0.44461,                0.32488,                 1.0153,                 1.7506,                 1.3523,                0.00307,                0.00307,                0.00307
                     37,                0.92187,                 1.5749,                 1.2437,                0.48992,                0.45382,                0.44508,                0.32453,                 1.0161,                 1.7559,                 1.3534,               0.002872,               0.002872,               0.002872
                     38,                0.91932,                 1.5425,                 1.2408,                0.48028,                0.46218,                 0.4465,                0.32744,                 1.0157,                  1.753,                  1.351,               0.002674,               0.002674,               0.002674
                     39,                0.90541,                 1.5166,                 1.2282,                0.48016,                0.46401,                0.44699,                0.32797,                 1.0174,                  1.749,                 1.3533,               0.002476,               0.002476,               0.002476
                     40,                0.90483,                 1.4943,                 1.2287,                 0.4862,                0.46079,                 0.4485,                0.32887,                 1.0162,                 1.7483,                 1.3531,               0.002278,               0.002278,               0.002278
                     41,                0.83659,                 1.2658,                 1.2151,                0.49863,                0.45215,                0.44853,                0.32935,                 1.0137,                 1.7476,                 1.3525,                0.00208,                0.00208,                0.00208
                     42,                0.82226,                   1.18,                 1.2033,                0.48188,                0.46731,                0.44714,                 0.3284,                 1.0134,                 1.7514,                 1.3526,               0.001882,               0.001882,               0.001882
                     43,                0.80394,                 1.1409,                 1.1895,                0.49128,                0.45887,                0.44911,                0.32889,                 1.0151,                 1.7555,                 1.3565,               0.001684,               0.001684,               0.001684
                     44,                 0.7934,                 1.0957,                 1.1792,                 0.5039,                 0.4528,                0.44751,                0.32749,                 1.0163,                 1.7604,                   1.36,               0.001486,               0.001486,               0.001486
                     45,                0.77538,                 1.0465,                  1.165,                0.48758,                0.46404,                0.44641,                 0.3275,                 1.0179,                 1.7671,                 1.3625,               0.001288,               0.001288,               0.001288
                     46,                0.76665,                 1.0152,                 1.1577,                0.49594,                0.45532,                0.44686,                0.32739,                 1.0196,                 1.7766,                 1.3663,                0.00109,                0.00109,                0.00109
                     47,                 0.7595,                0.98209,                  1.151,                0.49716,                0.45821,                0.44525,                 0.3261,                 1.0207,                 1.7853,                  1.368,               0.000892,               0.000892,               0.000892
                     48,                0.74227,                0.94307,                 1.1381,                0.50255,                0.45381,                0.44471,                0.32516,                 1.0219,                 1.7932,                 1.3702,               0.000694,               0.000694,               0.000694
                     49,                0.73501,                0.91915,                 1.1329,                0.50585,                 0.4531,                0.44301,                0.32417,                 1.0232,                 1.8014,                 1.3725,               0.000496,               0.000496,               0.000496
                     50,                0.72892,                0.89514,                 1.1302,                0.49895,                 0.4572,                0.44199,                0.32356,                 1.0245,                 1.8087,                 1.3745,               0.000298,               0.000298,               0.000298
